title,type,year,genre,idOwner
Classe tous risques,Movie,1960,Thriller,tt0052698
Three Came to Kill,Movie,1960,Thriller,tt0053357
Danger Man,TV Series,1960,Thriller,tt0053496
Bumerang,Movie,1960,Thriller,tt0052661
Der rote Kreis,Movie,1960,Thriller,tt0053228
The Day They Robbed the Bank of England,Movie,1960,Thriller,tt0053752
La Llorona,Movie,1960,Thriller,tt0051874
Meurtre en 45 tours,Movie,1960,Thriller,tt0053063
Thriller,TV Series,1960,Thriller,tt0053546
The League of Gentlemen,Movie,1960,Thriller,tt0052997
Classe tous risques,Movie,1960,Thriller,tt0052698
Three Came to Kill,Movie,1960,Thriller,tt0053357
Danger Man,TV Series,1960,Thriller,tt0053496
Bumerang,Movie,1960,Thriller,tt0052661
Der rote Kreis,Movie,1960,Thriller,tt0053228
The Day They Robbed the Bank of England,Movie,1960,Thriller,tt0053752
La Llorona,Movie,1960,Thriller,tt0051874
Meurtre en 45 tours,Movie,1960,Thriller,tt0053063
Thriller,TV Series,1960,Thriller,tt0053546
The League of Gentlemen,Movie,1960,Thriller,tt0052997
Classe tous risques,Movie,1960,Thriller,tt0052698
Three Came to Kill,Movie,1960,Thriller,tt0053357
Danger Man,TV Series,1960,Thriller,tt0053496
Bumerang,Movie,1960,Thriller,tt0052661
Der rote Kreis,Movie,1960,Thriller,tt0053228
The Day They Robbed the Bank of England,Movie,1960,Thriller,tt0053752
La Llorona,Movie,1960,Thriller,tt0051874
Meurtre en 45 tours,Movie,1960,Thriller,tt0053063
Thriller,TV Series,1960,Thriller,tt0053546
The League of Gentlemen,Movie,1960,Thriller,tt0052997
Classe tous risques,Movie,1960,Thriller,tt0052698
Three Came to Kill,Movie,1960,Thriller,tt0053357
Danger Man,TV Series,1960,Thriller,tt0053496
Bumerang,Movie,1960,Thriller,tt0052661
Der rote Kreis,Movie,1960,Thriller,tt0053228
The Day They Robbed the Bank of England,Movie,1960,Thriller,tt0053752
La Llorona,Movie,1960,Thriller,tt0051874
Meurtre en 45 tours,Movie,1960,Thriller,tt0053063
Thriller,TV Series,1960,Thriller,tt0053546
The League of Gentlemen,Movie,1960,Thriller,tt0052997
Los jóvenes,Movie,1961,Thriller,tt0053979
Flucht nach Berlin,Movie,1961,Thriller,tt0053829
Me faire ça à moi,Movie,1961,Thriller,tt0054071
Caccia all'uomo,Movie,1961,Thriller,tt0054712
La maldición de Nostradamus,Movie,1961,Thriller,tt0054054
The Cat Burglar,Movie,1961,Thriller,tt0054733
Bloodlust!,Movie,1961,Thriller,tt0054691
Doctor Blood's Coffin,Movie,1961,Thriller,tt0054823
Five Minutes to Live,Movie,1961,Thriller,tt0054817
Spel om een Miljoen,Movie,1961,Thriller,tt0054731
Los jóvenes,Movie,1961,Thriller,tt0053979
Flucht nach Berlin,Movie,1961,Thriller,tt0053829
Me faire ça à moi,Movie,1961,Thriller,tt0054071
Caccia all'uomo,Movie,1961,Thriller,tt0054712
La maldición de Nostradamus,Movie,1961,Thriller,tt0054054
The Cat Burglar,Movie,1961,Thriller,tt0054733
Bloodlust!,Movie,1961,Thriller,tt0054691
Doctor Blood's Coffin,Movie,1961,Thriller,tt0054823
Five Minutes to Live,Movie,1961,Thriller,tt0054817
Spel om een Miljoen,Movie,1961,Thriller,tt0054731
Los jóvenes,Movie,1961,Thriller,tt0053979
Flucht nach Berlin,Movie,1961,Thriller,tt0053829
Me faire ça à moi,Movie,1961,Thriller,tt0054071
Caccia all'uomo,Movie,1961,Thriller,tt0054712
La maldición de Nostradamus,Movie,1961,Thriller,tt0054054
The Cat Burglar,Movie,1961,Thriller,tt0054733
Bloodlust!,Movie,1961,Thriller,tt0054691
